date,cusip,issuer,sector,bond_spread_bps,cds_spread_bps,basis_bps
2026-03-06,12345A100,CloudSoft Inc,Software,452.43,538.54,-86.11
2026-03-09,12345A100,CloudSoft Inc,Software,476.69,565.71,-89.02
2026-03-10,12345A100,CloudSoft Inc,Software,468.61,556.39,-87.77
2026-03-11,12345A100,CloudSoft Inc,Software,468.57,552.82,-84.25
2026-03-12,12345A100,CloudSoft Inc,Software,468.53,559.04,-90.51
2026-03-13,12345A100,CloudSoft Inc,Software,460.09,552.67,-92.58
2026-03-16,12345A100,CloudSoft Inc,Software,467.16,558.38,-91.22
2026-03-17,12345A100,CloudSoft Inc,Software,475.68,567.48,-91.81
2026-03-18,12345A100,CloudSoft Inc,Software,477.26,568.22,-90.96
2026-03-19,12345A100,CloudSoft Inc,Software,469.86,562.4,-92.55
2026-03-20,12345A100,CloudSoft Inc,Software,481.14,573.56,-92.41
2026-03-23,12345A100,CloudSoft Inc,Software,472.71,565.6,-92.88
2026-03-24,12345A100,CloudSoft Inc,Software,480.27,570.32,-90.04
2026-03-25,12345A100,CloudSoft Inc,Software,492.13,581.62,-89.48
2026-03-26,12345A100,CloudSoft Inc,Software,478.04,566.76,-88.72
2026-03-27,12345A100,CloudSoft Inc,Software,479.18,569.01,-89.83
2026-03-30,12345A100,CloudSoft Inc,Software,481.37,572.5,-91.13
2026-03-31,12345A100,CloudSoft Inc,Software,474.42,566.71,-92.29
2026-04-01,12345A100,CloudSoft Inc,Software,469.32,560.71,-91.38
2026-04-02,12345A100,CloudSoft Inc,Software,470.51,563.03,-92.52
2026-04-03,12345A100,CloudSoft Inc,Software,467.6,559.48,-91.87
2026-04-06,12345A100,CloudSoft Inc,Software,471.68,558.44,-86.76
2026-04-07,12345A100,CloudSoft Inc,Software,473.53,558.2,-84.67
2026-04-08,12345A100,CloudSoft Inc,Software,492.74,578.3,-85.56
2026-04-09,12345A100,CloudSoft Inc,Software,485.61,568.25,-82.64
2026-04-10,12345A100,CloudSoft Inc,Software,487.2,570.94,-83.74
2026-04-13,12345A100,CloudSoft Inc,Software,495.97,584.89,-88.91
2026-04-14,12345A100,CloudSoft Inc,Software,492.2,583.72,-91.51
2026-04-15,12345A100,CloudSoft Inc,Software,489.71,585.98,-96.27
2026-04-16,12345A100,CloudSoft Inc,Software,502.35,599.58,-97.23
2026-04-17,12345A100,CloudSoft Inc,Software,494.34,591.6,-97.26
2025-10-01,12345B200,DataSys Corp,Software,520.0,520.0,-20.0
2025-10-02,12345B200,DataSys Corp,Software,524.14,543.04,-18.9
2025-10-03,12345B200,DataSys Corp,Software,530.0,550.36,-20.36
2025-10-06,12345B200,DataSys Corp,Software,542.55,561.41,-18.86
2025-10-07,12345B200,DataSys Corp,Software,539.46,557.89,-18.43
2025-10-08,12345B200,DataSys Corp,Software,537.71,560.01,-22.3
2025-10-09,12345B200,DataSys Corp,Software,551.23,569.74,-18.51
2025-10-10,12345B200,DataSys Corp,Software,549.93,564.03,-14.1
2025-10-13,12345B200,DataSys Corp,Software,540.82,556.53,-15.72
2025-10-14,12345B200,DataSys Corp,Software,548.28,565.04,-16.76
2025-10-15,12345B200,DataSys Corp,Software,545.62,561.75,-16.13
2025-10-16,12345B200,DataSys Corp,Software,541.49,556.86,-15.37
2025-10-17,12345B200,DataSys Corp,Software,543.63,557.43,-13.81
2025-10-20,12345B200,DataSys Corp,Software,530.82,539.68,-8.86
2025-10-21,12345B200,DataSys Corp,Software,515.9,525.28,-9.38
2025-10-22,12345B200,DataSys Corp,Software,508.99,520.45,-11.46
2025-10-23,12345B200,DataSys Corp,Software,502.87,517.86,-14.99
2025-10-24,12345B200,DataSys Corp,Software,501.94,518.84,-16.9
2025-10-27,12345B200,DataSys Corp,Software,497.61,514.67,-17.06
2025-10-28,12345B200,DataSys Corp,Software,480.67,493.32,-12.65
2025-10-29,12345B200,DataSys Corp,Software,497.21,511.24,-14.03
2025-10-30,12345B200,DataSys Corp,Software,498.38,511.93,-13.55
2025-10-31,12345B200,DataSys Corp,Software,500.84,514.51,-13.67
2025-11-03,12345B200,DataSys Corp,Software,495.04,505.81,-10.78
2025-11-04,12345B200,DataSys Corp,Software,498.84,503.38,-4.54
2025-11-05,12345B200,DataSys Corp,Software,504.81,510.75,-5.95
2025-11-06,12345B200,DataSys Corp,Software,489.15,496.4,-7.25
2025-11-07,12345B200,DataSys Corp,Software,487.63,492.35,-4.72
2025-11-10,12345B200,DataSys Corp,Software,481.5,484.6,-3.09
2025-11-11,12345B200,DataSys Corp,Software,480.53,479.09,1.44
2025-11-12,12345B200,DataSys Corp,Software,479.3,476.48,2.82
2025-11-13,12345B200,DataSys Corp,Software,491.42,489.57,1.84
2025-11-14,12345B200,DataSys Corp,Software,493.08,489.84,3.24
2025-11-17,12345B200,DataSys Corp,Software,482.86,476.93,5.93
2025-11-18,12345B200,DataSys Corp,Software,487.62,479.72,7.9
2025-11-19,12345B200,DataSys Corp,Software,473.52,464.43,9.09
2025-11-20,12345B200,DataSys Corp,Software,472.47,460.79,11.68
2025-11-21,12345B200,DataSys Corp,Software,453.24,438.72,14.52
2025-11-24,12345B200,DataSys Corp,Software,440.65,422.75,17.9
2025-11-25,12345B200,DataSys Corp,Software,448.3,428.86,19.44
2025-11-26,12345B200,DataSys Corp,Software,451.52,432.58,18.94
2025-11-27,12345B200,DataSys Corp,Software,465.45,446.22,19.23
2025-11-28,12345B200,DataSys Corp,Software,468.02,445.85,22.16
2025-12-01,12345B200,DataSys Corp,Software,467.85,447.81,20.04
2025-12-02,12345B200,DataSys Corp,Software,454.4,433.51,20.88
2025-12-03,12345B200,DataSys Corp,Software,453.43,433.61,19.82
2025-12-04,12345B200,DataSys Corp,Software,449.08,429.27,19.81
2025-12-05,12345B200,DataSys Corp,Software,459.2,436.27,22.93
2025-12-08,12345B200,DataSys Corp,Software,474.01,450.68,23.33
2025-12-09,12345B200,DataSys Corp,Software,461.52,438.16,23.36
2025-12-10,12345B200,DataSys Corp,Software,470.22,450.34,19.88
2025-12-11,12345B200,DataSys Corp,Software,465.65,443.99,21.67
2025-12-12,12345B200,DataSys Corp,Software,461.75,438.55,23.2
2025-12-15,12345B200,DataSys Corp,Software,475.24,446.71,28.53
2025-12-16,12345B200,DataSys Corp,Software,481.62,453.94,27.68
2025-12-17,12345B200,DataSys Corp,Software,497.4,469.25,28.15
2025-12-18,12345B200,DataSys Corp,Software,494.92,466.23,28.69
2025-12-19,12345B200,DataSys Corp,Software,491.14,458.59,32.55
2025-12-22,12345B200,DataSys Corp,Software,497.29,465.05,32.24
2025-12-23,12345B200,DataSys Corp,Software,509.64,476.78,32.85
2025-12-24,12345B200,DataSys Corp,Software,509.33,475.04,34.29
2025-12-25,12345B200,DataSys Corp,Software,502.04,467.36,34.68
2025-12-26,12345B200,DataSys Corp,Software,491.45,457.96,33.48
2025-12-29,12345B200,DataSys Corp,Software,482.34,448.45,33.89
2025-12-30,12345B200,DataSys Corp,Software,489.29,452.79,36.49
2025-12-31,12345B200,DataSys Corp,Software,503.16,469.31,33.85
2026-01-01,12345B200,DataSys Corp,Software,504.16,470.06,34.1
2026-01-02,12345B200,DataSys Corp,Software,506.93,474.66,32.27
2026-01-05,12345B200,DataSys Corp,Software,512.0,476.83,35.18
2026-01-06,12345B200,DataSys Corp,Software,510.36,479.07,31.29
2026-01-07,12345B200,DataSys Corp,Software,516.14,486.33,29.81
2026-01-08,12345B200,DataSys Corp,Software,532.91,502.24,30.67
2026-01-09,12345B200,DataSys Corp,Software,536.5,501.99,34.51
2026-01-12,12345B200,DataSys Corp,Software,550.56,516.3,34.26
2026-01-13,12345B200,DataSys Corp,Software,530.55,497.76,32.8
2026-01-14,12345B200,DataSys Corp,Software,530.18,492.76,37.42
2026-01-15,12345B200,DataSys Corp,Software,853.04,499.32,33.72
2026-01-16,12345B200,DataSys Corp,Software,532.01,503.87,28.14
2026-01-19,12345B200,DataSys Corp,Software,534.21,505.05,29.16
2026-01-20,12345B200,DataSys Corp,Software,514.16,486.33,27.83
2026-01-21,12345B200,DataSys Corp,Software,508.6,483.4,25.19
2026-01-22,12345B200,DataSys Corp,Software,516.44,489.56,26.88
2026-01-23,12345B200,DataSys Corp,Software,528.05,500.64,27.41
2026-01-26,12345B200,DataSys Corp,Software,527.42,501.5,25.92
2026-01-27,12345B200,DataSys Corp,Software,521.87,499.23,22.64
2026-01-28,12345B200,DataSys Corp,Software,518.72,493.98,24.74
2026-01-29,12345B200,DataSys Corp,Software,530.15,503.86,26.29
2026-01-30,12345B200,DataSys Corp,Software,530.87,504.91,25.96
2026-02-02,12345B200,DataSys Corp,Software,527.66,497.16,30.5
2026-02-03,12345B200,DataSys Corp,Software,530.03,502.29,27.74
2026-02-04,12345B200,DataSys Corp,Software,529.34,505.49,23.85
2026-02-05,12345B200,DataSys Corp,Software,535.77,513.73,22.04
2026-02-06,12345B200,DataSys Corp,Software,531.71,509.87,21.85
2026-02-09,12345B200,DataSys Corp,Software,527.6,505.22,22.37
2026-02-10,12345B200,DataSys Corp,Software,530.34,508.65,21.69
2026-02-11,12345B200,DataSys Corp,Software,515.92,493.43,22.49
2026-02-12,12345B200,DataSys Corp,Software,517.98,498.7,19.28
2026-02-13,12345B200,DataSys Corp,Software,518.69,495.88,22.81
2026-02-16,12345B200,DataSys Corp,Software,525.37,502.85,22.53
2026-02-17,12345B200,DataSys Corp,Software,524.9,499.66,25.24
2026-02-18,12345B200,DataSys Corp,Software,519.01,492.99,26.02
2026-02-19,12345B200,DataSys Corp,Software,510.15,483.07,27.08
2026-02-20,12345B200,DataSys Corp,Software,509.38,480.96,28.42
2026-02-23,12345B200,DataSys Corp,Software,507.76,478.3,29.46
2026-02-24,12345B200,DataSys Corp,Software,507.62,476.63,30.99
2026-02-25,12345B200,DataSys Corp,Software,515.89,481.65,34.23
2026-02-26,12345B200,DataSys Corp,Software,528.58,493.94,34.64
2026-02-27,12345B200,DataSys Corp,Software,536.24,499.91,36.34
2026-03-02,12345B200,DataSys Corp,Software,548.15,512.12,36.03
2026-03-03,12345B200,DataSys Corp,Software,546.19,506.64,39.55
2026-03-04,12345B200,DataSys Corp,Software,529.97,492.19,37.78
2026-03-05,12345B200,DataSys Corp,Software,536.28,494.08,42.2
2026-03-06,12345B200,DataSys Corp,Software,543.67,501.65,42.02
2026-03-09,12345B200,DataSys Corp,Software,560.29,521.93,38.37
2026-03-10,12345B200,DataSys Corp,Software,557.02,518.42,38.61
2026-03-11,12345B200,DataSys Corp,Software,558.11,521.29,36.82
2026-03-12,12345B200,DataSys Corp,Software,552.18,513.34,38.84
2026-03-13,12345B200,DataSys Corp,Software,539.56,502.42,37.13
2026-03-16,12345B200,DataSys Corp,Software,544.23,508.3,35.94
2026-03-17,12345B200,DataSys Corp,Software,546.88,515.75,31.13
2026-03-18,12345B200,DataSys Corp,Software,552.86,522.94,29.92
2026-03-19,12345B200,DataSys Corp,Software,547.03,523.24,23.78
2026-03-20,12345B200,DataSys Corp,Software,564.29,544.55,19.74
2026-03-23,12345B200,DataSys Corp,Software,549.38,527.82,21.56
2026-03-24,12345B200,DataSys Corp,Software,558.06,534.61,23.45
2026-03-25,12345B200,DataSys Corp,Software,573.7,549.27,24.43
2026-03-26,12345B200,DataSys Corp,Software,565.75,543.82,21.94
2026-03-27,12345B200,DataSys Corp,Software,564.17,542.43,21.74
2026-03-30,12345B200,DataSys Corp,Software,560.09,538.45,21.65
2026-03-31,12345B200,DataSys Corp,Software,557.84,539.17,18.67
2026-04-01,12345B200,DataSys Corp,Software,546.8,524.45,22.35
2026-04-02,12345B200,DataSys Corp,Software,549.54,525.07,24.46
2026-04-03,12345B200,DataSys Corp,Software,542.83,519.0,23.83
2026-04-06,12345B200,DataSys Corp,Software,556.93,533.11,23.82
2026-04-07,12345B200,DataSys Corp,Software,547.29,523.03,24.26
2026-04-08,12345B200,DataSys Corp,Software,556.92,537.85,19.07
2026-04-09,12345B200,DataSys Corp,Software,548.38,530.0,18.38
2026-04-10,12345B200,DataSys Corp,Software,543.74,527.14,16.59
2026-04-13,12345B200,DataSys Corp,Software,547.4,533.4,14.01
2026-04-14,12345B200,DataSys Corp,Software,543.23,530.01,13.22
2026-04-15,12345B200,DataSys Corp,Software,551.12,533.48,17.64
2026-04-16,12345B200,DataSys Corp,Software,558.69,539.52,19.16
2026-04-17,12345B200,DataSys Corp,Software,543.01,525.35,17.65
2025-10-01,12345C300,AppWorks LLC,Software,465.0,465.0,-20.0
2025-10-02,12345C300,AppWorks LLC,Software,465.03,488.44,-23.41
2025-10-03,12345C300,AppWorks LLC,Software,469.75,497.83,-28.08
2025-10-06,12345C300,AppWorks LLC,Software,481.81,508.7,-26.89
2025-10-07,12345C300,AppWorks LLC,Software,475.73,505.46,-29.73
2025-10-08,12345C300,AppWorks LLC,Software,468.3,503.49,-35.19
2025-10-09,12345C300,AppWorks LLC,Software,487.44,521.74,-34.3
2025-10-10,12345C300,AppWorks LLC,Software,489.9,518.04,-28.15
2025-10-13,12345C300,AppWorks LLC,Software,482.36,510.6,-28.24
2025-10-14,12345C300,AppWorks LLC,Software,477.71,503.93,-26.22
2025-10-15,12345C300,AppWorks LLC,Software,471.88,497.98,-26.1
2025-10-16,12345C300,AppWorks LLC,Software,463.25,489.68,-26.43
2025-10-17,12345C300,AppWorks LLC,Software,472.55,496.76,-24.21
2025-10-20,12345C300,AppWorks LLC,Software,462.77,487.78,-25.01
2025-10-21,12345C300,AppWorks LLC,Software,447.42,471.84,-24.43
2025-10-22,12345C300,AppWorks LLC,Software,453.44,477.14,-23.7
2025-10-23,12345C300,AppWorks LLC,Software,450.63,476.08,-25.45
2025-10-24,12345C300,AppWorks LLC,Software,452.41,475.46,-23.05
2025-10-27,12345C300,AppWorks LLC,Software,435.78,459.35,-23.57
2025-10-28,12345C300,AppWorks LLC,Software,435.72,461.26,-25.54
2025-10-29,12345C300,AppWorks LLC,Software,441.95,466.23,-24.28
2025-10-30,12345C300,AppWorks LLC,Software,434.23,460.83,-26.6
2025-10-31,12345C300,AppWorks LLC,Software,440.05,466.66,-26.61
2025-11-03,12345C300,AppWorks LLC,Software,440.45,467.16,-26.72
2025-11-04,12345C300,AppWorks LLC,Software,443.06,467.14,-24.08
2025-11-05,12345C300,AppWorks LLC,Software,447.15,470.12,-22.97
2025-11-06,12345C300,AppWorks LLC,Software,441.76,464.88,-23.12
2025-11-07,12345C300,AppWorks LLC,Software,449.09,470.24,-21.15
2025-11-10,12345C300,AppWorks LLC,Software,448.52,466.28,-17.76
2025-11-11,12345C300,AppWorks LLC,Software,448.29,464.74,-16.44
2025-11-12,12345C300,AppWorks LLC,Software,444.98,461.48,-16.5
2025-11-13,12345C300,AppWorks LLC,Software,459.57,479.43,-19.86
2025-11-14,12345C300,AppWorks LLC,Software,456.94,479.54,-22.6
2025-11-17,12345C300,AppWorks LLC,Software,448.43,471.88,-23.44
2025-11-18,12345C300,AppWorks LLC,Software,448.34,473.39,-25.05
2025-11-19,12345C300,AppWorks LLC,Software,439.5,465.09,-25.59
2025-11-20,12345C300,AppWorks LLC,Software,437.86,463.39,-25.53
2025-11-21,12345C300,AppWorks LLC,Software,419.36,443.65,-24.29
2025-11-24,12345C300,AppWorks LLC,Software,411.31,435.86,-24.54
2025-11-25,12345C300,AppWorks LLC,Software,420.0,443.41,-23.41
2025-11-26,12345C300,AppWorks LLC,Software,430.67,453.99,-23.33
2025-11-27,12345C300,AppWorks LLC,Software,426.43,454.78,-28.35
2025-11-28,12345C300,AppWorks LLC,Software,422.53,453.3,-30.77
2025-12-01,12345C300,AppWorks LLC,Software,425.39,456.61,-31.21
2025-12-02,12345C300,AppWorks LLC,Software,411.23,445.55,-34.32
2025-12-03,12345C300,AppWorks LLC,Software,406.2,439.1,-32.9
2025-12-04,12345C300,AppWorks LLC,Software,406.46,435.61,-29.15
2025-12-05,12345C300,AppWorks LLC,Software,411.82,438.0,-26.18
2025-12-08,12345C300,AppWorks LLC,Software,416.2,443.0,-26.8
2025-12-09,12345C300,AppWorks LLC,Software,398.55,421.7,-23.15
2025-12-10,12345C300,AppWorks LLC,Software,400.02,422.88,-22.86
2025-12-11,12345C300,AppWorks LLC,Software,399.98,423.76,-23.78
2025-12-12,12345C300,AppWorks LLC,Software,389.7,415.09,-25.4
2025-12-15,12345C300,AppWorks LLC,Software,397.85,424.08,-26.23
2025-12-16,12345C300,AppWorks LLC,Software,407.12,434.4,-27.28
2025-12-17,12345C300,AppWorks LLC,Software,417.9,444.84,-26.94
2025-12-18,12345C300,AppWorks LLC,Software,413.75,440.37,-26.61
2025-12-19,12345C300,AppWorks LLC,Software,418.46,445.15,-26.69
2025-12-22,12345C300,AppWorks LLC,Software,422.74,448.42,-25.68
2025-12-23,12345C300,AppWorks LLC,Software,429.5,452.28,-22.78
2025-12-24,12345C300,AppWorks LLC,Software,427.47,447.96,-20.48
2025-12-25,12345C300,AppWorks LLC,Software,429.46,453.74,-24.28
2025-12-26,12345C300,AppWorks LLC,Software,422.39,453.13,-30.74
2025-12-29,12345C300,AppWorks LLC,Software,414.7,443.19,-28.49
2025-12-30,12345C300,AppWorks LLC,Software,419.2,451.18,-31.98
2025-12-31,12345C300,AppWorks LLC,Software,427.91,460.53,-32.62
2026-01-01,12345C300,AppWorks LLC,Software,422.58,458.21,-35.63
2026-01-02,12345C300,AppWorks LLC,Software,438.7,478.91,-40.22
2026-01-05,12345C300,AppWorks LLC,Software,437.15,476.1,-38.94
2026-01-06,12345C300,AppWorks LLC,Software,430.33,467.46,-37.12
2026-01-07,12345C300,AppWorks LLC,Software,431.12,469.76,-38.64
2026-01-08,12345C300,AppWorks LLC,Software,447.56,492.77,-45.2
2026-01-09,12345C300,AppWorks LLC,Software,446.87,493.51,-46.65
2026-01-12,12345C300,AppWorks LLC,Software,464.76,510.51,-45.75
2026-01-13,12345C300,AppWorks LLC,Software,442.68,492.2,-49.53
2026-01-14,12345C300,AppWorks LLC,Software,450.95,500.09,-49.15
2026-01-15,12345C300,AppWorks LLC,Software,448.86,498.12,-49.27
2026-01-16,12345C300,AppWorks LLC,Software,456.4,504.3,-47.9
2026-01-19,12345C300,AppWorks LLC,Software,452.78,500.46,-47.68
2026-01-20,12345C300,AppWorks LLC,Software,439.79,489.98,-50.19
2026-01-21,12345C300,AppWorks LLC,Software,441.72,489.0,-47.28
2026-01-22,12345C300,AppWorks LLC,Software,447.06,494.81,-47.76
2026-01-23,12345C300,AppWorks LLC,Software,458.27,506.18,-47.9
2026-01-26,12345C300,AppWorks LLC,Software,454.46,504.78,-50.32
2026-01-27,12345C300,AppWorks LLC,Software,449.24,500.74,-51.51
2026-01-28,12345C300,AppWorks LLC,Software,445.61,499.41,-53.8
2026-01-29,12345C300,AppWorks LLC,Software,457.42,511.73,-54.31
2026-01-30,12345C300,AppWorks LLC,Software,469.86,519.97,-50.11
2026-02-02,12345C300,AppWorks LLC,Software,463.99,517.61,-53.62
2026-02-03,12345C300,AppWorks LLC,Software,462.68,520.42,-57.73
2026-02-04,12345C300,AppWorks LLC,Software,463.63,517.77,-54.14
2026-02-05,12345C300,AppWorks LLC,Software,482.36,537.1,-54.74
2026-02-06,12345C300,AppWorks LLC,Software,473.96,530.46,-56.49
